agency,site,date_time,flow,comments
USGS,luke,2019-06-19T04:00:00Z,473,
USGS,luke,2019-06-20T04:00:00Z,484,
USGS,luke,2019-06-21T04:00:00Z,482,
USGS,luke,2019-06-22T04:00:00Z,490,
USGS,luke,2019-06-23T04:00:00Z,485,
USGS,luke,2019-06-24T04:00:00Z,479,
USGS,luke,2019-06-25T04:00:00Z,487,
USGS,luke,2019-06-26T04:00:00Z,470,
USGS,luke,2019-06-27T04:00:00Z,458,
USGS,luke,2019-06-28T04:00:00Z,438,
USGS,luke,2019-06-29T04:00:00Z,462,
USGS,luke,2019-06-30T04:00:00Z,2890,
USGS,luke,2019-07-01T04:00:00Z,3440,
USGS,luke,2019-07-02T04:00:00Z,2250,
USGS,nbp_cumb,2019-06-01T04:00:00Z,1230,
USGS,nbp_cumb,2019-06-02T04:00:00Z,1170,
USGS,nbp_cumb,2019-06-03T04:00:00Z,1080,
USGS,nbp_cumb,2019-06-04T04:00:00Z,949,
USGS,nbp_cumb,2019-06-05T04:00:00Z,903,
USGS,nbp_cumb,2019-06-06T04:00:00Z,1220,
USGS,nbp_cumb,2019-06-07T04:00:00Z,1180,
USGS,nbp_cumb,2019-06-08T04:00:00Z,834,
USGS,nbp_cumb,2019-06-09T04:00:00Z,804,
USGS,nbp_cumb,2019-06-10T04:00:00Z,984,
USGS,nbp_cumb,2019-06-11T04:00:00Z,1360,
USGS,nbp_cumb,2019-06-12T04:00:00Z,1170,
USGS,nbp_cumb,2019-06-13T04:00:00Z,821,
USGS,nbp_cumb,2019-06-14T04:00:00Z,825,
USGS,nbp_cumb,2019-06-15T04:00:00Z,747,
USGS,nbp_cumb,2019-06-16T04:00:00Z,714,
USGS,nbp_cumb,2019-06-17T04:00:00Z,787,
USGS,nbp_cumb,2019-06-18T04:00:00Z,773,
USGS,nbp_cumb,2019-06-19T04:00:00Z,759,
USGS,nbp_cumb,2019-06-20T04:00:00Z,1760,
USGS,nbp_cumb,2019-06-21T04:00:00Z,1360,
USGS,nbp_cumb,2019-06-22T04:00:00Z,1070,
USGS,nbp_cumb,2019-06-23T04:00:00Z,935,
USGS,nbp_cumb,2019-06-24T04:00:00Z,849,
USGS,nbp_cumb,2019-06-25T04:00:00Z,1020,
USGS,nbp_cumb,2019-06-26T04:00:00Z,846,
